;mean;amin;amax;median;std;var
29780;1.0;1.0;1.0;1.0;0.0;0.0
29804;1.0;1.0;1.0;1.0;0.0;0.0
29884;1.0;1.0;1.0;1.0;0.0;0.0
29896;1.0;1.0;1.0;1.0;0.0;0.0
29936;1.0;1.0;1.0;1.0;0.0;0.0
29984;1.0;1.0;1.0;1.0;0.0;0.0
29988;1.0;1.0;1.0;1.0;0.0;0.0
30000;1.0;1.0;1.0;1.0;0.0;0.0
30096;1.0;1.0;1.0;1.0;0.0;0.0
30220;1.0;1.0;1.0;1.0;0.0;0.0
30252;1.0;1.0;1.0;1.0;0.0;0.0
30316;1.0;1.0;1.0;1.0;0.0;0.0
30412;1.0;1.0;1.0;1.0;0.0;0.0
30464;1.0;1.0;1.0;1.0;0.0;0.0
30568;1.0;1.0;1.0;1.0;0.0;0.0
30692;1.0;1.0;1.0;1.0;0.0;0.0
30696;1.0;1.0;1.0;1.0;0.0;0.0
30716;1.0;1.0;1.0;1.0;0.0;0.0
30720;1.0;1.0;1.0;1.0;0.0;0.0
30852;1.0;1.0;1.0;1.0;0.0;0.0
30868;1.0;1.0;1.0;1.0;0.0;0.0
30908;1.0;1.0;1.0;1.0;0.0;0.0
31052;1.0;1.0;1.0;1.0;0.0;0.0
31216;1.0;1.0;1.0;1.0;0.0;0.0
31224;1.0;1.0;1.0;1.0;0.0;0.0
31260;1.0;1.0;1.0;1.0;0.0;0.0
31292;1.0;1.0;1.0;1.0;0.0;0.0
31332;1.0;1.0;1.0;1.0;0.0;0.0
31344;1.0;1.0;1.0;1.0;0.0;0.0
31356;1.0;1.0;1.0;1.0;0.0;0.0
31376;1.0;1.0;1.0;1.0;0.0;0.0
31412;1.0;1.0;1.0;1.0;0.0;0.0
31624;1.0;1.0;1.0;1.0;0.0;0.0
31636;1.0;1.0;1.0;1.0;0.0;0.0
31692;1.0;1.0;1.0;1.0;0.0;0.0
31744;1.0;1.0;1.0;1.0;0.0;0.0
31784;1.0;1.0;1.0;1.0;0.0;0.0
31804;1.0;1.0;1.0;1.0;0.0;0.0
31992;1.0;1.0;1.0;1.0;0.0;0.0
32068;1.0;1.0;1.0;1.0;0.0;0.0
